What does the STRIDE threat model acronym stand for (all 6)?	Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, Elevation of Privilege. STRIDE is a threat classification model (originated at Microsoft) where each threat maps to a violated security property: Authentication, Integrity, Non-repudiation, Confidentiality, Availability, Authorization.
What does the software development life cycle (SDLC) provide in the context of software security?	It standardizes security best practices across development, ensuring security is treated as an essential part of every phase rather than an afterthought.
What happens during the Architecture (A2) phase of the SDL, and what is its most important step?	Security is examined in terms of business risks with input from the security team and key stakeholders. The most important step is threat modeling.
What happens in the A1 (Security Assessment) phase of the SDL, and what is it also called?	A1 is the first SDL phase, sometimes called the discovery phase. The team identifies the product's risk profile and the SDL activities that will be needed, and creates an initial project outline of security milestones and controls that is integrated into the overall development schedule.
What happens in the A4 (Design and Development / readiness) phase, and how does it map to a typical SDLC?	A4 maps to the 'readiness' phase of a typical SDLC. It continues policy compliance analysis and executes security test cases, relying on automated tools (static, dynamic, and fuzz testing) to enforce security practices efficiently. Static analysis inspects source code before compiling; dynamic analysis tests the running application.
What is BSIMM (Building Security In Maturity Model) and what is its purpose?	BSIMM is a descriptive maturity model built from studying real-world software security initiatives across many organizations. It is not a how-to guide or a one-size-fits-all prescription; instead it lets an organization measure where it stands relative to industry peers and identify steps to improve its software security program.
What is BSIMM (Building Security In Maturity Model)?	A descriptive security model based on studying real-world software security practices across many organizations, used to measure and compare an organization's software security initiative.
What is MITRE ATT&CK and how can it enhance threat modeling in the SDL?	MITRE ATT&CK is a knowledge base of real-world adversary tactics and techniques (first released in 2015). In the SDL it supports vulnerability managers with detections and analytics, threat intelligence (a common language to structure and compare threats), adversary emulation and red teaming, and assessment and engineering decisions.
What is OWASP (Open Web Application Security Project)?	A flexible, prescriptive framework and community that helps organizations build security into their software development process, offering guidance and resources for application security.
What is OWASP Zed Attack Proxy (ZAP)?	One of the most commonly used open-source security testing tools, used to test web applications for vulnerabilities (e.g., request-response tampering, authentication scenarios, custom payloads).
What is PRSA1?	PRSA1 is External Vulnerability Disclosure Response - the process for receiving, triaging, and responding to security vulnerabilities reported by external parties (researchers, customers) after release.
What is PRSA2 (Third-Party Reviews) and why has it become the norm?	PRSA2 is independent third-party assessment of post-release (or near-release) code. Customers increasingly request independent audits as visible proof that purchased/evaluated software is secure, since vulnerabilities have been tied to high-profile data breaches.
What is PRSA2?	PRSA2 is Third-Party Reviews - having independent, external parties assess the security of the released software (for example, third-party security assessments or audits) to provide objective validation.
What is PRSA3?	PRSA3 is Post-Release Certifications - managing security/privacy certifications (e.g., government, industry, or standards-based) that a product must obtain or maintain after release.
What is PRSA4?	PRSA4 is Internal Review for New Product Combinations or Cloud Deployments - re-assessing security when previously released products are combined into new bundles/solutions or deployed in new environments such as the cloud, where new risks may emerge.
What is PRSA5?	PRSA5 is Security Architectural Reviews and Tool-Based Assessments of Current, Legacy, and M&A Products and Solutions - applying architectural review and automated tooling to existing, legacy, and newly acquired (merger/acquisition) code.
What is STRIDE, and what are STRIDE-per-element and STRIDE-per-interaction?	STRIDE is a threat modeling methodology where each letter represents a type of software threat, applied to a data flow diagram. STRIDE-per-element identifies threats for individual elements; STRIDE-per-interaction identifies threats for interactions between elements.
What is Scrum in Agile development?	A popular, flexible Agile framework for holistic product development in which a team works as a unit toward a common goal, with defined Scrum roles and values.
What is the PASTA threat modeling methodology and how does it differ from other methods?	PASTA (Process for Attack Simulation and Threat Analysis) is a seven-step, repeatable framework for identifying threats and planning countermeasures. Unlike methods focused only on identifying threats, PASTA focuses on the probability and impact of threats, so teams prioritize those with real business impact.
What is the Waterfall software development methodology?	A sequential, step-by-step process for addressing an organization's requirements, where each phase is completed before the next begins.
What is the defense-in-depth principle in secure software design?	Applying multiple, layered security controls throughout the entire SDLC so that if one control fails, others still protect the software. It is emphasized across all phases of development.
What is the difference between quality code and secure code?	Quality code focuses on functioning correctly and reliably, while secure code focuses on protecting confidentiality, integrity, and availability by resisting misuse and attack. Code can be high quality yet insecure.
What is the difference between static and dynamic code analysis?	Static code analysis examines source code without executing it, while dynamic code analysis tests the application while it is running. Introducing both early in a CI/CD pipeline helps developers find issues sooner.
What is the focus of the A2 (Architecture) phase of the SDL?	In A2, security is brought into the SDLC so that all threats, requirements, and constraints on functionality and integration are considered. Business requirements are defined in terms of confidentiality, integrity, and availability; privacy controls for PII are discussed; and a threat model is prepared.
What is the goal of the Design and Development (A3/A4) phase of the SDL?	To complete analysis and testing that lets teams make informed decisions on deploying software security, establishing best practices to detect and remove security and privacy issues (including compliance analysis). It emphasizes including security testing as part of QA.
What is the purpose of the Post-Release Support (PRSA) phase of the SDL?	To prepare for vulnerabilities identified after a product is released (in both managed and unmanaged codebases). Key stakeholders are identified, customer communication plans are established, and a process for handling newly discovered vulnerabilities is defined.
What is threat modeling and what mindset does it require?	Using a repeatable model to identify vulnerabilities so developers can eliminate them. It requires thinking like an adversary to understand a threat and defend against it before it happens.
What role does NIST play in software security?	The National Institute of Standards and Technology provides research, guidelines, standards, and tools for government and corporate information security, including SDL best practices and frameworks (e.g., the AI Risk Management Framework).
What should a completed threat model include?	At minimum a diagram with an enumeration and description of its elements, plus a threat and risk analysis (the core of the model). For each mitigated threat it should also record the associated bug/defect number added to the work backlog, a short description of the software components, and the documentation stored in the team's document control system.
When should a software security assessment be performed, and what does it identify?	In the earliest phases of a new development initiative. It identifies how critical the product is to customers, the required security objectives, any governing regulations/policies, and possible threats after deployment.
Why would an organization adapt an existing security reference framework instead of creating its own?	Implementing security policies is difficult and may require negotiation with stakeholders and leadership. Adapting a proven, industry-accepted framework of tested SDL activities, deliverables, and methodologies avoids reinventing the wheel.
